api10,DocName,DocUrl,Start,Stop,Step,Step Units,Number of Curves,CurveNameArr
507107919,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584727,750.6,2495.5,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107919,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584726,-9.5,2451,0.25,FT,6,"['DEPT', 'MINMK', 'GR', 'CCL', 'TT3', 'AMP3']"
507107919,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2584728,752,2501.5,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107920,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2397646,875.6,2510,0.1,FT,7,"['DEPT', 'DCAL', 'DPOR', 'NPOR', 'RHOB', 'RHOC', 'GR']"
507107920,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2361883,877,2514.5,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107934,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2586540,-12.5,2487.75,0.25,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107934,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2315541,952.6,2511.5,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107934,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2260038,954,2517,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107939,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2355936,-14,2531.75,0.25,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107939,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2252820,846.5,2610,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107939,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2337359,846.6,2609.1,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'GR', 'NPOR']"
507107940,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2724951,756,2334,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107940,LAS-DUAL INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2652727,756,2334,0.25,FT,6,"['DEPT', 'SP', 'RILD', 'RILM', 'RLL3', 'GR']"
507107940,LAS-DENSITY/NEUTRON,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2652726,754.6,2329,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
