,API,DAKOTA,GREENHORN,MORRISON,NIOBRARA,TIMPAS,GRANEROS,PIERRE,APISHAPA,CODELL,FORT,RATON,VERMEJO,POISON,TRINIDAD,CARLILE,RATON-VERMEJO,ENTRADA-DOCKUM,GLORIETA,PURGATOIRE,UNKNOWN,TORONTO,ROLLINS
341,507106577.0,,,,,,,,,,,,1369.0,,,,,,,,,,
342,507106578.0,,,,,,,,,,,,1212.0,,,,,,,,,,
343,507106579.0,,,,,,,,,,,,1430.0,,,,,,,,,,
344,507106580.0,,,,,,,,,,,,1587.0,,,,,,,,,,
345,507106582.0,,,,,,,,,,,0.0,550.0,,970.0,,,,,,,,
346,507106586.0,,,,,,,,,,,,468.0,,754.0,,,,,,,,
347,507106587.0,,,,,,,,,,,0.0,1340.0,,1490.0,,,,,,,,
348,507106588.0,,,,,,,,,,,0.0,1594.0,,1790.0,,,,,,,,
349,507106589.0,,,,,,,,,,,0.0,1520.0,,1785.0,,,,,,,,
350,507106590.0,,,,,,,,,,,,1362.0,,150.0,,,,,,,,
351,507106591.0,,,,,,,,,,,0.0,1370.0,,1575.0,,,,,,,,
352,507106592.0,,,,,,,,,,,,570.0,,807.0,,,,,,,,
353,507106594.0,,,,,,,,,,,350.0,1670.0,,1912.0,,,,,,,,
354,507106595.0,,,,,,,,,,,0.0,1403.0,,1633.0,,,,,,,,
355,507106596.0,,,,,,,,,,,,1040.0,,,,,,,,,,
356,507106597.0,,,,,,,,,,,,1016.0,,,,,,,,,,
357,507106599.0,,,,,,,,,,,,1027.0,,,,,,,,,,
